3214; 982,425000; 315; 982,425000; 132; 982,425000; 108
10828; 993,690000; 84; 993,690000; 88; 993,690000; 60
7986; 927,765000; 88; 927,765000; 107; 927,765000; 85
3780; 1009,780000; 92; 1009,780000; 88; 1009,780000; 56
15456; 913,910000; 52; 913,910000; 52; 913,910000; 52
15937; 1005,850000; 52; 1005,850000; 56; 1005,850000; 48
11012; 1003,780000; 52; 1003,780000; 51; 1003,780000; 56
13447; 1222,005000; 56; 1222,005000; 54; 1222,005000; 56
15946; 896,055000; 51; 896,055000; 52; 896,055000; 48
4213; 943,530000; 44; 943,530000; 48; 943,530000; 44
